_id,n_records,total_min,avg_min,pts,fgm,fga,3pm,3pa,ftm,fta,oreb,dreb,ast,tov,stl,blk,pf,player,n_outliers,possessions,possessions_per_match,oer,def_contribution,def_per_match,fg2a,fg2m,pct_2pa,pct_3pa,fg2_pct,fg3_pct,best_zone,best_zone_pct,OER,fga_2,fgm_2,defensive_contribution,total_defensive_actions,best_zone_efficiency,scaled_pts,scaled_fgm,scaled_fga,scaled_3pm,scaled_3pa,scaled_ftm,scaled_fta,scaled_ast,scaled_tov,scaled_stl,scaled_blk,scaled_pf,scaled_possessions,scaled_possessions_per_match,scaled_oer,scaled_def_contribution,scaled_def_per_match,scaled_fg2a,scaled_fg2m,scaled_pct_2pa,scaled_pct_3pa,scaled_fg2_pct,scaled_fg3_pct,scaled_best_zone_pct,scaled_OER,scaled_fga_2,scaled_fgm_2,scaled_defensive_contribution,scaled_total_defensive_actions,scaled_best_zone_efficiency,cluster,position,height_cm,weight_kg,birth_date,nationality,formation,age,bmi,is_tall,is_heavy
9,5303,6142478,1158.3024702998302,6.611729209881199,2.383367904959457,5.928153875165001,0.7277013011502923,2.4080709032623044,1.1172920988119932,1.6852724872713558,,,1.4065623232132756,1.3954365453516877,0.7946445408259476,0.1193663963794078,1.8732792758815764,9,0,7.997699415425231,0.00150814622203,82.67,2.3094474825570432,0.0004354982995581,3.5200829719026965,1.6556666038091643,59.37907561154054,40.62092438845946,47.03487437724326,30.219263899765075,MBL,56.027615507169415,82.67038890120202,3.5200829719026965,1.6556666038091643,0.9140109372053556,2.3094474825570432,0.0,0.1653474560450753,0.1369070896964009,0.1677669518944787,0.4769900943590536,0.3430877381067262,0.0167678629661314,-0.0740042035780084,0.6800998282948121,0.1833007076668693,0.2359508792253752,-0.4022270133928616,0.2610421797067109,0.1463142118373853,-0.8201565623468825,0.244461351026993,0.1514977704266761,-0.8187969906367653,-0.0460447251534911,-0.0837447744604441,-0.3984935220818528,0.398493522081852,-0.1363296627603022,0.5735964519021283,-0.3735507995307477,0.2444821326561725,-0.0460447251534911,-0.0837447744604441,0.077251292998679,0.1514977704266761,0.0,2,Pivot,197,71,1996-05-28,Espanyol,True,29,18.29472545028215,1,0
51,63,68363,1085.126984126984,6.4603174603174605,2.333333333333333,6.238095238095238,0.8412698412698413,2.952380952380953,0.9523809523809524,1.4126984126984128,,,1.5714285714285714,1.619047619047619,1.0158730158730158,0.0158730158730158,1.7142857142857142,51,0,8.422222222222222,0.1336860670194003,76.71,2.6507936507936507,0.0420760896951373,3.2857142857142856,1.492063492063492,52.67175572519084,47.32824427480916,45.41062801932368,28.494623655913976,PC,100.0,76.7056162834527,3.2857142857142856,1.492063492063492,1.0317460317460316,2.6507936507936507,0.0,0.0866182573215021,0.0596676802924209,0.3688370131536813,0.8873306850261514,0.9532887083412546,-0.30447065805939,-0.4755296700707818,1.0553348194353884,0.8295581566899283,1.2339194252417798,-1.6305041752025031,-0.2101760877956894,0.352033248048236,0.9682872718179726,-0.6014713814088493,0.7833961446946286,1.0667768136882505,-0.2735473663039906,-0.3999550802035549,-1.0452736604783373,1.0452736604783357,-0.5014896460016768,0.2341224952358303,1.3130595928772348,-0.6020996825779468,-0.2735473663039906,-0.3999550802035549,0.5711772782906513,0.7833961446946286,0.0,2,Escolta,212,102,1999-06-17,Serbi,True,26,22.694909220363115,1,1
69,79,72544,918.2784810126582,5.405063291139241,2.0253164556962027,5.455696202531645,0.7721518987341772,2.7088607594936707,0.5822784810126582,0.9493670886075948,,,0.5189873417721519,1.0253164556962024,0.5569620253164557,0.0379746835443038,1.7088607594936709,69,0,6.860759493670886,0.0868450568819099,78.78,1.6202531645569618,0.0205095337285691,2.7468354430379747,1.2531645569620251,50.34802784222738,49.65197215777263,45.622119815668206,28.504672897196265,Ce3R,50.0,78.78228782287823,2.7468354430379747,1.2531645569620251,0.5949367088607594,1.6202531645569618,0.0,-0.4620796834161678,-0.4158243833336108,-0.1387332592443339,0.6375969353810165,0.6802894164631653,-1.025411438008165,-1.1580572594527072,-1.3400176542279558,-0.8863818488338729,-0.8362423561439096,-1.3681977986427698,-0.2262543350701502,-0.4046342441422507,0.3345012713945581,-0.3076658854118362,-1.1243354148372935,0.0901976725863385,-0.7966392603739562,-0.8616963301351083,-1.2693484127199242,1.2693484127199233,-0.4539424617754025,0.2361005632484235,-0.6047467893113108,-0.3073571208480292,-0.7966392603739562,-0.8616963301351083,-1.2613389823242984,-1.1243354148372935,0.0,1,Ala-pivot,184,113,2000-08-21,Argentí,False,25,33.37665406427221,0,1
34,1134,1268180,1118.3245149911816,6.4109347442680775,2.497354497354497,5.698412698412699,0.3465608465608465,1.3218694885361553,1.0696649029982364,1.8298059964726632,,,0.8024691358024691,1.4303350970017636,0.6596119929453262,0.27336860670194,2.1005291005291005,34,0,7.860670194003528,0.00693180793122,81.56,2.36331569664903,0.0020840526425476,4.376543209876544,2.1507936507936507,76.80284741566079,23.19715258433921,49.14366310699173,26.21747831887925,PR,58.2089552238806,81.55710118914067,4.376543209876544,2.1507936507936507,0.9329805996472662,2.36331569664903,0.0,0.0609408467073079,0.3128705643585548,0.0187256234102123,-0.9001289484562027,-0.8746027274821919,-0.0760074907617129,0.1389063044988048,-0.6948141051511847,0.284160868978227,-0.3731851528547775,1.425497589686351,0.9345554187699552,0.0799113733743945,-0.7467712776950916,0.0869134763619287,0.2512183475911745,-0.7441469729504846,0.7853247267484427,0.8732313688297481,1.2816633408392526,-1.281663340839253,0.3377642168164759,-0.2141052091932508,-0.2898830549221464,0.0864729020360175,0.7853247267484427,0.8732313688297481,0.1568334197114559,0.2512183475911745,0.0,2,Escolta,196,74,1993-06-12,Americà,False,32,19.2628071636818,1,0
94,48,35886,747.625,3.375,1.3958333333333333,3.875,0.1875,0.9583333333333334,0.3958333333333333,0.875,,,0.75,1.1875,0.4166666666666667,0.1041666666666666,1.5208333333333333,94,0,5.4125,0.1127604166666666,62.36,1.7083333333333337,0.0355902777777777,2.9166666666666665,1.2083333333333333,75.26881720430107,24.731182795698924,41.42857142857142,19.565217391304344,Ce3R,66.66666666666666,62.35565819861433,2.9166666666666665,1.2083333333333333,0.5208333333333334,1.7083333333333337,0.0,-1.5176467495787047,-1.387570578432359,-1.164187491200994,-1.4748402343552751,-1.2821463967186526,-1.3885970976138742,-1.2676064892965864,-0.814233670532952,-0.4176558511320984,-1.4691190916310188,-0.5826200083891587,-0.7835219194231741,-1.106444706268171,0.6851511010908811,-2.6382389502770227,-0.9612818327726006,0.7730855705698707,-0.6317833977853513,-0.9483456290341646,1.1337383440865485,-1.1337383440865498,-1.3967280504810076,-1.5235199383878952,0.0345220047515374,-2.6387931732645944,-0.6317833977853513,-0.9483456290341646,-1.5722198026407888,-0.9612818327726006,0.0,1,Ala-pivot,193,70,1995-04-19,Serbi,False,30,18.792450804048432,0,0
38,46,28183,612.6739130434783,2.717391304347826,1.0434782608695652,2.565217391304348,0.1739130434782608,0.8043478260869565,0.4565217391304347,0.782608695652174,,,0.3478260869565217,0.8695652173913043,0.6304347826086957,0.0652173913043478,1.2826086956521738,38,1,3.7478260869565214,0.0814744801512287,72.51,1.5652173913043477,0.0340264650283553,1.7608695652173911,0.8695652173913043,68.64406779661016,31.355932203389838,49.38271604938272,21.62162162162162,PR,66.66666666666666,72.50580046403712,1.7608695652173911,0.8695652173913043,0.6956521739130435,1.5652173913043477,0.0,-1.8595819417386448,-1.931508436059354,-2.013890373310184,-1.5239319965513,-1.4547724690756474,-1.2703791715150474,-1.403706966336669,-1.7295800578709486,-1.336517865290635,-0.5048044580561849,-1.0448766779702288,-1.489561836497555,-1.913127191905305,0.261834257252154,-1.197598474736118,-1.2262173718680824,0.7022728309723874,-1.7537203659450686,-1.6031129398452937,0.4949203942421681,-0.4949203942421701,0.391507645583713,-1.118742372133103,0.0345220047515374,-1.1981806948649494,-1.7537203659450686,-1.6031129398452937,-0.8388142839396384,-1.2262173718680824,0.0,1,Escolta,186,89,2002-05-03,Argentí,False,23,25.725517400855587,0,0
22,2642,3075300,1164.004542013626,7.112036336109008,2.5870552611657835,6.169568508705527,0.738455715367146,2.410295230885693,1.1994700984102953,1.8372445117335352,,,1.141559424678274,1.4110522331566997,0.8573050719152158,0.2009841029523088,1.9034822104466316,22,0,8.31551854655564,0.0031474332121709,85.53,2.469341408024224,0.0009346485268827,3.7592732778198337,1.8485995457986373,60.93251533742331,39.06748466257669,49.17438582360049,30.637562814070343,PL,57.961783439490446,85.5272740514165,3.7592732778198337,1.8485995457986373,1.0582891748675247,2.469341408024224,0.0,0.4254909341905927,0.4513435000647189,0.3243812698285044,0.5158474458524958,0.3455813295370311,0.1768464241980936,0.1498638884686477,0.0769541792584273,0.2284315430893148,0.5186144879243376,0.5664259042358493,0.3505563358548046,0.3003258321760389,-0.797976059792007,0.65039551457842,0.4474926312449121,-0.7961944155646447,0.1861382819654668,0.2891539065209269,-0.2486968852848182,0.2486968852848168,0.3446712396503474,0.6559333844970326,-0.2993636074341538,0.6499606263689098,0.1861382819654668,0.2891539065209269,0.6825319102309165,0.4474926312449121,0.0,2,Pivot,175,106,1996-07-12,Italià,False,29,34.61224489795919,0,1
75,88,80665,916.6477272727273,4.318181818181818,1.693181818181818,4.284090909090909,0.2272727272727272,0.9431818181818182,0.7045454545454546,1.125,,,1.0227272727272727,1.2272727272727273,0.6022727272727273,0.0909090909090909,1.7613636363636365,75,0,5.961363636363637,0.0677427685950413,72.44,1.9204545454545452,0.021823347107438,3.340909090909091,1.4659090909090908,77.9840848806366,22.015915119363395,43.87755102040816,24.096385542168672,PR,66.66666666666666,72.43614182234083,3.340909090909091,1.4659090909090908,0.6931818181818182,1.9204545454545452,0.0,-1.0272227962854463,-0.9285475347560148,-0.8987955687617599,-1.3311352577450932,-1.2991320637313193,-0.7872415956539001,-0.8993346102469503,-0.1935073734683647,-0.3027088547999116,-0.6318443674100345,-0.7399631876757387,-0.070648570728301,-0.8404714853337654,0.0760362456247671,-1.207533926291574,-0.5686040717196895,0.1496899134009084,-0.2199695434138164,-0.4505060208141326,1.3955688864255025,-1.395568886425504,-0.8461531069982996,-0.6316159102994539,0.0345220047515374,-1.208067365005318,-0.2199695434138164,-0.4505060208141326,-0.8491779982877466,-0.5686040717196895,0.0,1,Base,194,87,1998-01-27,Americà,False,27,23.11616537357849,1,0
44,1017,1316246,1294.243854473943,8.582104228121928,3.0678466076696167,7.48377581120944,0.912487708947886,2.954768928220256,1.5339233038348083,2.16125860373648,,,1.2586037364798426,1.5791543756145523,0.8269419862340216,0.151425762045231,2.0747295968534907,44,0,9.927433628318584,0.0097614883267636,86.45,2.557522123893805,0.0025147710166114,4.529006882989184,2.155358898721731,60.51767179082906,39.48232820917094,47.590099869735134,30.88186356073211,PR,56.66666666666666,86.44836671222838,4.529006882989184,2.155358898721731,0.9783677482792528,2.557522123893805,0.0,1.189878556293252,1.1935511065971454,1.176954609261199,1.1446517869642194,0.9559657582623406,0.8283442482565918,0.6271650024705923,0.3433466142009828,0.7142628570959235,0.3816456620831525,-0.0217409719015151,0.8580919613669163,1.0814419742649148,-0.7084840628142858,0.7809757350215367,0.6107323456018304,-0.7246431365265303,0.9333218370993868,0.8820550301142317,-0.2886998329636919,0.2886998329636905,-0.0115049213995136,0.7040209444281462,-0.3490392716861714,0.7806915605990866,0.9333218370993868,0.8820550301142317,0.3472430184390637,0.6107323456018304,0.0,2,Pivot,210,119,2003-12-04,Espanyol,True,22,26.984126984126984,1,1
98,99,71679,724.030303030303,3.242424242424242,1.1717171717171715,3.484848484848485,0.3434343434343434,1.303030303030303,0.5555555555555556,0.9494949494949496,,,0.5656565656565656,0.8282828282828283,0.5151515151515151,0.1111111111111111,1.1414141414141414,98,0,4.692929292929293,0.0474033261912049,69.09,1.4545454545454546,0.0146923783287419,2.1818181818181817,0.8282828282828283,62.60869565217391,37.391304347826086,37.96296296296296,26.356589147286822,PL,100.0,69.09169177787345,2.1818181818181817,0.8282828282828283,0.6262626262626263,1.4545454545454546,0.0,-1.5865818434151064,-1.7335433608211113,-1.4172927505643371,-0.9114254847883712,-0.8957224721804815,-1.0774663368861166,-1.1578689091757353,-1.233798667622905,-1.455827929116452,-1.0248508706158028,-0.500202152572379,-1.9080281728762405,-1.455140677306859,-0.1991681919851791,-1.6830162507311817,-1.4310927254609054,-0.1732153931264226,-1.3451038241074742,-1.682903090182349,-0.0870644964437576,0.0870644964437555,-2.175859567724282,-0.1867229748385694,1.3130595928772348,-1.6827460780177472,-1.3451038241074742,-1.682903090182349,-1.1299195047398436,-1.4310927254609054,0.0,1,Aler,202,95,1991-05-08,Argentí,True,34,23.28203117341437,1,1
